x,rad,cos,sin
1,0.0175,0.999847695,0.017452406
2,0.0349,0.999390827,0.034899497
3,0.0524,0.998629535,0.052335956
4,0.0698,0.99756405,0.069756474
5,0.0873,0.996194698,0.087155743
6,0.1047,0.994521895,0.104528463
7,0.1222,0.992546152,0.121869343
8,0.1396,0.990268069,0.139173101
9,0.1571,0.987688341,0.156434465
10,0.1745,0.984807753,0.173648178
11,0.1920,0.981627183,0.190808995
12,0.2094,0.978147601,0.207911691
13,0.2269,0.974370065,0.224951054
14,0.2443,0.970295726,0.241921896
15,0.2618,0.965925826,0.258819045
16,0.2793,0.961261696,0.275637356
17,0.2967,0.956304756,0.292371705
18,0.3142,0.951056516,0.309016994
19,0.3316,0.945518576,0.325568154
20,0.3491,0.939692621,0.342020143
21,0.3665,0.933580426,0.35836795
22,0.3840,0.927183855,0.374606593
23,0.4014,0.920504853,0.390731128
24,0.4189,0.913545458,0.406736643
25,0.4363,0.906307787,0.422618262
26,0.4538,0.898794046,0.438371147
27,0.4712,0.891006524,0.4539905
28,0.4887,0.882947593,0.469471563
29,0.5061,0.874619707,0.48480962
30,0.5236,0.866025404,0.5
31,0.5411,0.857167301,0.515038075
32,0.5585,0.848048096,0.529919264
33,0.5760,0.838670568,0.544639035
34,0.5934,0.829037573,0.559192903
35,0.6109,0.819152044,0.573576436
36,0.6283,0.809016994,0.587785252
37,0.6458,0.79863551,0.601815023
38,0.6632,0.788010754,0.615661475
39,0.6807,0.777145961,0.629320391
40,0.6981,0.766044443,0.64278761
41,0.7156,0.75470958,0.656059029
42,0.7330,0.743144825,0.669130606
43,0.7505,0.731353702,0.68199836
44,0.7679,0.7193398,0.69465837
45,0.7854,0.707106781,0.707106781
46,0.8029,0.69465837,0.7193398
47,0.8203,0.68199836,0.731353702
48,0.8378,0.669130606,0.743144825
49,0.8552,0.656059029,0.75470958
50,0.8727,0.64278761,0.766044443
51,0.8901,0.629320391,0.777145961
52,0.9076,0.615661475,0.788010754
53,0.9250,0.601815023,0.79863551
54,0.9425,0.587785252,0.809016994
55,0.9599,0.573576436,0.819152044
56,0.9774,0.559192903,0.829037573
57,0.9948,0.544639035,0.838670568
58,1.0123,0.529919264,0.848048096
59,1.0297,0.515038075,0.857167301
60,1.0472,0.5,0.866025404
61,1.0647,0.48480962,0.874619707
62,1.0821,0.469471563,0.882947593
63,1.0996,0.4539905,0.891006524
64,1.1170,0.438371147,0.898794046
65,1.1345,0.422618262,0.906307787
66,1.1519,0.406736643,0.913545458
67,1.1694,0.390731128,0.920504853
68,1.1868,0.374606593,0.927183855
69,1.2043,0.35836795,0.933580426
70,1.2217,0.342020143,0.939692621
71,1.2392,0.325568154,0.945518576
72,1.2566,0.309016994,0.951056516
73,1.2741,0.292371705,0.956304756
74,1.2915,0.275637356,0.961261696
75,1.3090,0.258819045,0.965925826
76,1.3265,0.241921896,0.970295726
77,1.3439,0.224951054,0.974370065
78,1.3614,0.207911691,0.978147601
79,1.3788,0.190808995,0.981627183
80,1.3963,0.173648178,0.984807753
81,1.4137,0.156434465,0.987688341
82,1.4312,0.139173101,0.990268069
83,1.4486,0.121869343,0.992546152
84,1.4661,0.104528463,0.994521895
85,1.4835,0.087155743,0.996194698
86,1.5010,0.069756474,0.99756405
87,1.5184,0.052335956,0.998629535
88,1.5359,0.034899497,0.999390827
89,1.5533,0.017452406,0.999847695
90,1.5708,0,1
91,1.5882,-0.017452406,0.999847695
92,1.6057,-0.034899497,0.999390827
93,1.6232,-0.052335956,0.998629535
94,1.6406,-0.069756474,0.99756405
95,1.6581,-0.087155743,0.996194698
96,1.6755,-0.104528463,0.994521895
97,1.6930,-0.121869343,0.992546152
98,1.7104,-0.139173101,0.990268069
99,1.7279,-0.156434465,0.987688341
100,1.7453,-0.173648178,0.984807753
101,1.7628,-0.190808995,0.981627183
102,1.7802,-0.207911691,0.978147601
103,1.7977,-0.224951054,0.974370065
104,1.8151,-0.241921896,0.970295726
105,1.8326,-0.258819045,0.965925826
106,1.8500,-0.275637356,0.961261696
107,1.8675,-0.292371705,0.956304756
108,1.8850,-0.309016994,0.951056516
109,1.9024,-0.325568154,0.945518576
110,1.9199,-0.342020143,0.939692621
111,1.9373,-0.35836795,0.933580426
112,1.9548,-0.374606593,0.927183855
113,1.9722,-0.390731128,0.920504853
114,1.9897,-0.406736643,0.913545458
115,2.0071,-0.422618262,0.906307787
116,2.0246,-0.438371147,0.898794046
117,2.0420,-0.4539905,0.891006524
118,2.0595,-0.469471563,0.882947593
119,2.0769,-0.48480962,0.874619707
120,2.0944,-0.5,0.866025404
121,2.1118,-0.515038075,0.857167301
122,2.1293,-0.529919264,0.848048096
123,2.1468,-0.544639035,0.838670568
124,2.1642,-0.559192903,0.829037573
125,2.1817,-0.573576436,0.819152044
126,2.1991,-0.587785252,0.809016994
127,2.2166,-0.601815023,0.79863551
128,2.2340,-0.615661475,0.788010754
129,2.2515,-0.629320391,0.777145961
130,2.2689,-0.64278761,0.766044443
131,2.2864,-0.656059029,0.75470958
132,2.3038,-0.669130606,0.743144825
133,2.3213,-0.68199836,0.731353702
134,2.3387,-0.69465837,0.7193398
135,2.3562,-0.707106781,0.707106781
136,2.3736,-0.7193398,0.69465837
137,2.3911,-0.731353702,0.68199836
138,2.4086,-0.743144825,0.669130606
139,2.4260,-0.75470958,0.656059029
140,2.4435,-0.766044443,0.64278761
141,2.4609,-0.777145961,0.629320391
142,2.4784,-0.788010754,0.615661475
143,2.4958,-0.79863551,0.601815023
144,2.5133,-0.809016994,0.587785252
145,2.5307,-0.819152044,0.573576436
146,2.5482,-0.829037573,0.559192903
147,2.5656,-0.838670568,0.544639035
148,2.5831,-0.848048096,0.529919264
149,2.6005,-0.857167301,0.515038075
150,2.6180,-0.866025404,0.5
151,2.6354,-0.874619707,0.48480962
152,2.6529,-0.882947593,0.469471563
153,2.6704,-0.891006524,0.4539905
154,2.6878,-0.898794046,0.438371147
155,2.7053,-0.906307787,0.422618262
156,2.7227,-0.913545458,0.406736643
157,2.7402,-0.920504853,0.390731128
158,2.7576,-0.927183855,0.374606593
159,2.7751,-0.933580426,0.35836795
160,2.7925,-0.939692621,0.342020143
161,2.8100,-0.945518576,0.325568154
162,2.8274,-0.951056516,0.309016994
163,2.8449,-0.956304756,0.292371705
164,2.8623,-0.961261696,0.275637356
165,2.8798,-0.965925826,0.258819045
166,2.8972,-0.970295726,0.241921896
167,2.9147,-0.974370065,0.224951054
168,2.9322,-0.978147601,0.207911691
169,2.9496,-0.981627183,0.190808995
170,2.9671,-0.984807753,0.173648178
171,2.9845,-0.987688341,0.156434465
172,3.0020,-0.990268069,0.139173101
173,3.0194,-0.992546152,0.121869343
174,3.0369,-0.994521895,0.104528463
175,3.0543,-0.996194698,0.087155743
176,3.0718,-0.99756405,0.069756474
177,3.0892,-0.998629535,0.052335956
178,3.1067,-0.999390827,0.034899497
179,3.1241,-0.999847695,0.017452406
180,3.1416,-1,0
